Date,Basin,LAT,LON,AL,CP,EP,VMAX12,MSLP12,POT12,VMPI12,VGRAD0-6,VGRAD6-12,VMAX36,ONI,logVMAX12,logMSLP12,logPOT12,logVMAX36,logVMPI12
2015-05-01,EP,10.8,-109.9,0.0,0.0,1.0,50.0,998.0,113.0,163.0,1.6666666666666667,1.6666666666666667,65.0,1.02,3.912023005428146,6.905753276311464,4.727387818712341,4.174387269895637,5.093750200806762
2019-06-01,EP,14.6,-103.8,0.0,0.0,1.0,30.0,1006.0,101.0,131.0,0.0,0.8333333333333334,45.0,0.52,3.4011973816621555,6.913737350659685,4.61512051684126,3.8066624897703196,4.875197323201151
2021-05-01,EP,13.4,-107.5,0.0,0.0,1.0,35.0,1005.0,118.0,153.0,0.8333333333333334,0.0,35.0,-0.39,3.5553480614894135,6.912742820493176,4.770684624465665,3.5553480614894135,5.030437921392435
2022-05-01,EP,12.8,-97.7,0.0,0.0,1.0,40.0,1002.0,135.0,175.0,0.8333333333333334,0.8333333333333334,75.0,-0.9,3.6888794541139363,6.90975328164481,4.90527477843843,4.31748811353631,5.1647859739235145
1988-06-01,EP,11.5,-91.9,0.0,0.0,1.0,30.0,1005.0,132.0,162.0,0.0,0.0,45.0,-1.3,3.4011973816621555,6.912742820493176,4.882801922586371,3.8066624897703196,5.087596335232384
1989-06-01,EP,12.9,-107.4,0.0,0.0,1.0,25.0,1010.0,129.0,154.0,0.0,0.0,50.0,-0.4,3.2188758248682006,6.917705609835305,4.859812404361672,3.912023005428146,5.0369526024136295
1990-06-01,EP,10.7,-100.3,0.0,0.0,1.0,25.0,1009.0,134.0,159.0,0.0,0.0,45.0,0.31,3.2188758248682006,6.9167150203536085,4.897839799950911,3.8066624897703196,5.0689042022202315
1991-06-01,EP,10.2,-103.0,0.0,0.0,1.0,25.0,1010.0,142.0,167.0,0.0,0.0,25.0,0.64,3.2188758248682006,6.917705609835305,4.955827057601261,3.2188758248682006,5.117993812416755
1993-06-01,EP,13.4,-95.4,0.0,0.0,1.0,35.0,1004.0,130.0,165.0,1.6666666666666667,0.0,55.0,0.57,3.5553480614894135,6.911747300251674,4.867534450455582,4.007333185232471,5.10594547390058
1994-06-01,EP,15.6,-112.4,0.0,0.0,1.0,35.0,1006.0,87.0,122.0,0.8333333333333334,0.8333333333333334,40.0,0.41,3.5553480614894135,6.913737350659685,4.465908118654584,3.6888794541139363,4.804021044733257
1995-06-01,EP,11.4,-105.9,0.0,0.0,1.0,35.0,1005.0,121.0,156.0,0.8333333333333334,0.8333333333333334,70.0,-0.03,3.5553480614894135,6.912742820493176,4.795790545596741,4.248495242049359,5.049856007249537
1997-06-01,EP,14.1,-94.5,0.0,0.0,1.0,40.0,1003.0,128.0,168.0,0.8333333333333334,0.8333333333333334,40.0,1.22,3.6888794541139363,6.910750787961936,4.852030263919617,3.6888794541139363,5.123963979403259
1999-07-01,EP,12.9,-103.0,0.0,0.0,1.0,40.0,1002.0,98.0,138.0,0.8333333333333334,0.8333333333333334,50.0,-1.1,3.6888794541139363,6.90975328164481,4.584967478670572,3.912023005428146,4.927253685157205
2000-06-01,EP,13.1,-105.9,0.0,0.0,1.0,40.0,999.0,115.0,155.0,0.8333333333333334,0.8333333333333334,45.0,-0.64,3.6888794541139363,6.906754778648554,4.74493212836325,3.8066624897703196,5.043425116919247
2001-06-01,EP,11.9,-126.5,0.0,0.0,1.0,30.0,1007.0,85.0,115.0,0.0,0.0,50.0,-0.12,3.4011973816621555,6.914730892718563,4.442651256490317,3.912023005428146,4.74493212836325
2002-06-01,EP,16.1,-102.4,0.0,0.0,1.0,40.0,1002.0,108.0,148.0,0.8333333333333334,1.6666666666666667,50.0,0.65,3.6888794541139363,6.90975328164481,4.68213122712422,3.912023005428146,4.997212273764115
2003-06-01,EP,15.9,-103.2,0.0,0.0,1.0,30.0,1004.0,115.0,145.0,0.8333333333333334,0.0,45.0,-0.16,3.4011973816621555,6.911747300251674,4.74493212836325,3.8066624897703196,4.976733742420574
2005-06-01,EP,13.6,-101.7,0.0,0.0,1.0,30.0,1004.0,116.0,146.0,0.8333333333333334,0.0,45.0,0.11,3.4011973816621555,6.911747300251674,4.7535901911063645,3.8066624897703196,4.983606621708336
2006-06-01,EP,15.7,-103.0,0.0,0.0,1.0,30.0,1005.0,126.0,156.0,0.8333333333333334,0.0,30.0,-0.03,3.4011973816621555,6.912742820493176,4.836281906951478,3.4011973816621555,5.049856007249537
2007-05-01,EP,14.2,-97.5,0.0,0.0,1.0,30.0,1006.0,136.0,166.0,0.0,0.0,40.0,-0.38,3.4011973816621555,6.913737350659685,4.912654885736052,3.6888794541139363,5.111987788356544
2008-06-01,EP,12.2,-107.9,0.0,0.0,1.0,45.0,1000.0,93.0,138.0,0.8333333333333334,1.6666666666666667,50.0,-0.61,3.8066624897703196,6.907755278982137,4.532599493153256,3.912023005428146,4.927253685157205
